1,فاتورة بضاعة أول المدة,2026-01-01,Aswaaq Al Mizhar,مستودع اسواق المزهر,HXQ350,2,0,2,39.3,0,39.3,بضاعة أول المدة مولدة من عملية التدوير 01/01/2026,Black,37
202600170,فاتورة الإخراج,2026-04-11,Aswaaq Al Mizhar,مستودع اسواق المزهر,HXQ350,0,2,0,0,39.3,39.3,to. DALMA MALL ( 1 TAPE ),Black,37
1,فاتورة بضاعة أول المدة,2026-01-01,Aswaaq Al Mizhar,مستودع اسواق المزهر,HXQ350,1,0,1,39.3,0,39.3,بضاعة أول المدة مولدة من عملية التدوير 01/01/2026,Black,38
202600170,فاتورة الإخراج,2026-04-11,Aswaaq Al Mizhar,مستودع اسواق المزهر,HXQ350,0,1,0,0,39.3,39.3,to. DALMA MALL ( 1 TAPE ),Black,38
1,فاتورة بضاعة أول المدة,2026-01-01,Aswaaq Al Mizhar,مستودع اسواق المزهر,HXQ350,1,0,1,39.3,0,39.3,بضاعة أول المدة مولدة من عملية التدوير 01/01/2026,Black,39
202600170,فاتورة الإخراج,2026-04-11,Aswaaq Al Mizhar,مستودع اسواق المزهر,HXQ350,0,1,0,0,39.3,39.3,to. DALMA MALL ( 1 TAPE ),Black,39
1,فاتورة بضاعة أول المدة,2026-01-01,Aswaaq Al Mizhar,مستودع اسواق المزهر,HXQ350,2,0,2,39.3,0,39.3,بضاعة أول المدة مولدة من عملية التدوير 01/01/2026,Black,40
202600170,فاتورة الإخراج,2026-04-11,Aswaaq Al Mizhar,مستودع اسواق المزهر,HXQ350,0,2,0,0,39.3,39.3,to. DALMA MALL ( 1 TAPE ),Black,40
1,فاتورة بضاعة أول المدة,2026-01-01,Aswaaq Al Mizhar,مستودع اسواق المزهر,HXQ350,1,0,1,39.07,0,39.07,بضاعة أول المدة مولدة من عملية التدوير 01/01/2026,Silver,42
202600579,فاتورة مبيعات سعر التوزيع,2026-02-07,Aswaaq Al Mizhar,مستودع اسواق المزهر,HXQ350,0,1,0,0,180,39.07,554003232,Silver,42
1,فاتورة بضاعة أول المدة,2026-01-01,Aswaaq Al Mizhar,مستودع اسواق المزهر,HXQ350,1,0,1,39.19,0,39.19,بضاعة أول المدة مولدة من عملية التدوير 01/01/2026,Gold,36
202600170,فاتورة الإخراج,2026-04-11,Aswaaq Al Mizhar,مستودع اسواق المزهر,HXQ350,0,1,0,0,39.19,39.19,to. DALMA MALL ( 1 TAPE ),Gold,36
