1,فاتورة بضاعة أول المدة,2026-01-01,Aswaaq Al Mizhar,مستودع اسواق المزهر,CB0001,1,0,1,0.49,0,0.49,بضاعة أول المدة مولدة من عملية التدوير 01/01/2026
202601194,فاتورة مبيعات سعر التوزيع,2026-03-12,Aswaaq Al Mizhar,مستودع اسواق المزهر,CB0001,0,1,0,0,0.95,0.49,507999101
2,فاتورة بضاعة أول المدة,2026-01-01,BIN SOUQAT BR,مستودع بن سوقات,CB0001,1,0,1,0.49,0,0.49,بضاعة أول المدة مولدة من عملية التدوير 01/01/2026
2,فاتورة بضاعة أول المدة,2026-01-01,NAEEM CITY CENTER,مستودع النعيم سيتي سنتر,CB0001,62,0,62,0.48,0,0.48,بضاعة أول المدة مولدة من عملية التدوير 01/01/2026
202600452,فاتورة مبيعات سعر المبيع,2026-02-07,NAEEM CITY CENTER,مستودع النعيم سيتي سنتر,CB0001,0,1,61,0,0.95,0.48,
202600459,فاتورة مبيعات سعر المبيع,2026-02-08,NAEEM CITY CENTER,مستودع النعيم سيتي سنتر,CB0001,0,1,60,0,0.95,0.48,
202600513,فاتورة مبيعات سعر المبيع,2026-02-13,NAEEM CITY CENTER,مستودع النعيم سيتي سنتر,CB0001,0,1,59,0,0.95,0.48,553332252
202600515,فاتورة مبيعات سعر المبيع,2026-02-13,NAEEM CITY CENTER,مستودع النعيم سيتي سنتر,CB0001,0,1,58,0,0.95,0.48,
202600617,فاتورة مبيعات سعر المبيع,2026-02-25,NAEEM CITY CENTER,مستودع النعيم سيتي سنتر,CB0001,0,1,57,0,0.95,0.48,
202600619,فاتورة مبيعات سعر المبيع,2026-02-26,NAEEM CITY CENTER,مستودع النعيم سيتي سنتر,CB0001,0,1,56,0,0.95,0.48,
202600636,فاتورة مبيعات سعر المبيع,2026-02-27,NAEEM CITY CENTER,مستودع النعيم سيتي سنتر,CB0001,0,1,55,0,0.95,0.48,
202600646,فاتورة مبيعات سعر المبيع,2026-02-27,NAEEM CITY CENTER,مستودع النعيم سيتي سنتر,CB0001,0,2,53,0,0.95,0.48,
202600656,فاتورة مبيعات سعر المبيع,2026-02-28,NAEEM CITY CENTER,مستودع النعيم سيتي سنتر,CB0001,0,1,52,0,0.95,0.48,
202600658,فاتورة مبيعات سعر المبيع,2026-02-28,NAEEM CITY CENTER,مستودع النعيم سيتي سنتر,CB0001,0,1,51,0,0.95,0.48,
202600906,فاتورة مبيعات سعر المبيع,2026-03-09,NAEEM CITY CENTER,مستودع النعيم سيتي سنتر,CB0001,0,1,50,0,0.95,0.48,
202600928,فاتورة مبيعات سعر المبيع,2026-03-09,NAEEM CITY CENTER,مستودع النعيم سيتي سنتر,CB0001,0,1,49,0,0.95,0.48,
202600972,فاتورة مبيعات سعر المبيع,2026-03-10,NAEEM CITY CENTER,مستودع النعيم سيتي سنتر,CB0001,0,1,48,0,0.95,0.48,
202600996,فاتورة مبيعات سعر المبيع,2026-03-10,NAEEM CITY CENTER,مستودع النعيم سيتي سنتر,CB0001,0,1,47,0,0.95,0.48,
202601036,فاتورة مبيعات سعر المبيع,2026-03-11,NAEEM CITY CENTER,مستودع النعيم سيتي سنتر,CB0001,0,1,46,0,0.95,0.48,
202601054,فاتورة مبيعات سعر المبيع,2026-03-12,NAEEM CITY CENTER,مستودع النعيم سيتي سنتر,CB0001,0,1,45,0,0.95,0.48,
202601635,فاتورة مبيعات سعر المبيع,2026-04-08,NAEEM CITY CENTER,مستودع النعيم سيتي سنتر,CB0001,0,1,44,0,0.95,0.48,
202602045,فاتورة مبيعات سعر المبيع,2026-05-21,NAEEM CITY CENTER,مستودع النعيم سيتي سنتر,CB0001,0,1,43,0,0.95,0.48,
202602090,فاتورة مبيعات سعر المبيع,2026-05-23,NAEEM CITY CENTER,مستودع النعيم سيتي سنتر,CB0001,0,1,42,0,0.95,0.48,
202602110,فاتورة مبيعات سعر المبيع,2026-05-23,NAEEM CITY CENTER,مستودع النعيم سيتي سنتر,CB0001,0,1,41,0,0.95,0.48,
202602487,فاتورة مبيعات سعر المبيع,2026-06-10,NAEEM CITY CENTER,مستودع النعيم سيتي سنتر,CB0001,0,1,40,0,0.95,0.48,
202602620,فاتورة مبيعات سعر المبيع,2026-07-01,NAEEM CITY CENTER,مستودع النعيم سيتي سنتر,CB0001,0,1,39,0,0.95,0.48,
202602768,فاتورة مبيعات سعر المبيع,2026-07-19,NAEEM CITY CENTER,مستودع النعيم سيتي سنتر,CB0001,0,2,37,0,0.95,0.48,
202600010,فاتورة تسوية موجبة,2026-07-27,NAEEM CITY CENTER,مستودع النعيم سيتي سنتر,CB0001,1,0,38,0.48,0,0.48,تسوية جردية 27/07/2026
202600012,فاتورة الإدخال,2026-01-03,Matajer AlJuraina BR,مستودع متاجر الجرينة,CB0001,98,0,98,0.49,0,0.49,
202600158,فاتورة مبيعات سعر التوزيع,2026-01-10,Matajer AlJuraina BR,مستودع متاجر الجرينة,CB0001,0,1,97,0,0.95,0.49,
