202600035,ادخال مواد الى مستودع الشنط,2026-03-04,Store BR,مستودع الشنط BAG,AA012503228,1,0,1,50.39,0,50.39,2 box ( 71 pcs bags ) return after ramadan,Black
202601968,اخراج مواد من مستودع الشنط,2026-04-08,Store BR,مستودع الشنط BAG,AA012503228,0,1,0,0,50.39,50.39,,Black
202600035,ادخال مواد الى مستودع الشنط,2026-03-04,Store BR,مستودع الشنط BAG,AA012503228,1,0,1,50.39,0,50.39,2 box ( 71 pcs bags ) return after ramadan,Beige
202601968,اخراج مواد من مستودع الشنط,2026-04-08,Store BR,مستودع الشنط BAG,AA012503228,0,1,0,0,50.39,50.39,,Beige
202600035,ادخال مواد الى مستودع الشنط,2026-03-04,Store BR,مستودع الشنط BAG,AA012503228,1,0,1,50.39,0,50.39,2 box ( 71 pcs bags ) return after ramadan,Brown
202601968,اخراج مواد من مستودع الشنط,2026-04-08,Store BR,مستودع الشنط BAG,AA012503228,0,1,0,0,50.39,50.39,,Brown
1,فاتورة بضاعة أول المدة,2026-01-01,Aswaaq Al Mizhar,مستودع اسواق المزهر,AA012503228,1,0,1,50.39,0,50.39,بضاعة أول المدة مولدة من عملية التدوير 01/01/2026,Beige
202600034,فاتورة الإخراج,2026-01-17,Aswaaq Al Mizhar,مستودع اسواق المزهر,AA012503228,0,1,0,0,10,50.39,1 CARTON,Beige
1,فاتورة بضاعة أول المدة,2026-01-01,Aswaaq Al Mizhar,مستودع اسواق المزهر,AA012503228,1,0,1,50.39,0,50.39,بضاعة أول المدة مولدة من عملية التدوير 01/01/2026,Pink
202600034,فاتورة الإخراج,2026-01-17,Aswaaq Al Mizhar,مستودع اسواق المزهر,AA012503228,0,1,0,0,10,50.39,1 CARTON,Pink
2,فاتورة بضاعة أول المدة,2026-01-01,BIN SOUQAT BR,مستودع بن سوقات,AA012503228,1,0,1,50.39,0,50.39,بضاعة أول المدة مولدة من عملية التدوير 01/01/2026,Black
202600081,فاتورة مبيعات سعر التوزيع,2026-01-04,BIN SOUQAT BR,مستودع بن سوقات,AA012503228,0,1,0,0,94.29,50.39,,Black
2,فاتورة بضاعة أول المدة,2026-01-01,City Centre Al Dhait BR,مستودع سيتي سنتر الظيت,AA012503228,1,0,1,50.39,0,50.39,بضاعة أول المدة مولدة من عملية التدوير 01/01/2026,Beige
202600012,فاتورة الإخراج,2026-01-19,City Centre Al Dhait BR,مستودع سيتي سنتر الظيت,AA012503228,0,1,0,0,10,50.39,Al Dhaid Br. (1))Cartoon,Beige
202600082,فاتورة الإدخال,2026-02-09,MADINAT ZAYED BR,مستودع مدينة زايد,AA012503228,1,0,1,10,0,10,MADINAT ZAYED 1 CARTOON,Brown
202609104,فاتورة مبيعات سعر نصف الجمله,2026-05-10,MADINAT ZAYED BR,مستودع مدينة زايد,AA012503228,0,1,0,0,94.29,10,,Brown
1,فاتورة بضاعة أول المدة,2026-01-01,AJMAN CHINA MALL BR,مستودع السوق الصيني عجمان,AA012503228,1,0,1,10,0,10,بضاعة أول المدة مولدة من عملية التدوير 01/01/2026,Beige
202600088,فاتورة الإدخال,2026-01-17,AJMAN CHINA MALL BR,مستودع السوق الصيني عجمان,AA012503228,1,0,2,10,0,10,1 CARTON,Beige
202601483,فاتورة مبيعات سعر نصف الجمله,2026-01-23,AJMAN CHINA MALL BR,مستودع السوق الصيني عجمان,AA012503228,0,1,1,0,82.13,10,,Beige
202601804,فاتورة مبيعات سعر نصف الجمله,2026-01-29,AJMAN CHINA MALL BR,مستودع السوق الصيني عجمان,AA012503228,0,1,0,0,94.29,10,,Beige
1,فاتورة بضاعة أول المدة,2026-01-01,AJMAN CHINA MALL BR,مستودع السوق الصيني عجمان,AA012503228,1,0,1,10,0,10,بضاعة أول المدة مولدة من عملية التدوير 01/01/2026,Green
202601462,فاتورة مبيعات سعر نصف الجمله,2026-01-22,AJMAN CHINA MALL BR,مستودع السوق الصيني عجمان,AA012503228,0,1,0,0,94.29,10,,Green
202600088,فاتورة الإدخال,2026-01-17,AJMAN CHINA MALL BR,مستودع السوق الصيني عجمان,AA012503228,1,0,1,10,0,10,1 CARTON,Pink
202602595,فاتورة مبيعات سعر نصف الجمله,2026-02-08,AJMAN CHINA MALL BR,مستودع السوق الصيني عجمان,AA012503228,0,1,0,0,94.29,10,,Pink
